Date,PandL,ProfitableTradeCount,LossTradeCount,AccuracyPercentage
2021-04-27,-10.725000000000136,0,1,0.0
2021-04-28,-23.475000000000364,0,3,0.0
2021-04-29,-19.90714285714307,0,2,0.0
2021-04-30,-22.285714285714448,0,3,0.0
2021-05-03,33.31428571428569,3,0,100.0
2021-05-04,-59.87142857142862,0,4,0.0
2021-05-05,-12.053571428571331,0,2,0.0
2021-05-06,48.68571428571431,5,0,100.0
2021-05-07,-38.65000000000009,1,3,25.0
2021-05-10,-6.36428571428587,0,1,0.0
2021-05-11,-21.5,1,1,50.0
2021-05-12,2.253571428571604,2,4,33.33333333333333
2021-05-17,22.73571428571404,6,0,100.0
2021-05-18,0.0,0,1,0.0
2021-05-20,-0.32142857142866843,3,2,60.0
2021-05-21,-12.071428571428669,2,4,33.33333333333333
2021-05-24,67.87142857142885,7,0,100.0
2021-05-27,42.967857142857156,4,2,66.66666666666666
2021-05-31,-38.36785714285725,0,3,0.0
2021-06-01,7.85714285714289,3,2,60.0
2021-06-02,-2.9142857142855982,2,1,66.66666666666666
2021-06-03,-35.50357142857138,0,2,0.0
2021-06-04,27.78571428571422,3,0,100.0
2021-06-08,-7.3214285714284415,1,1,50.0
2021-06-09,-65.49642857142885,0,2,0.0
2021-06-10,-32.07857142857142,0,2,0.0
2021-06-11,36.049999999999955,2,1,66.66666666666666
2021-06-21,-2.453571428571422,0,1,0.0
2021-06-23,12.71428571428578,1,0,100.0
2021-06-28,-19.853571428571517,0,1,0.0
2021-06-29,-38.50714285714298,0,2,0.0
2021-07-07,24.092857142857156,2,0,100.0
2021-07-08,4.8464285714284205,1,2,33.33333333333333
2021-07-09,-14.14285714285711,0,1,0.0
2021-07-12,-4.885714285714244,0,1,0.0
2021-07-14,-33.49285714285713,0,2,0.0
2021-07-15,-17.92857142857133,0,2,0.0
2021-07-16,55.92857142857133,4,0,100.0
2021-07-22,-4.060714285714312,0,1,0.0
2021-07-23,-22.68928571428569,1,3,25.0
2021-07-26,-0.3999999999999772,0,1,0.0
2021-07-28,59.44999999999993,4,0,100.0
2021-07-29,-7.9500000000000455,0,2,0.0
2021-08-03,-40.16785714285709,0,3,0.0
2021-08-04,-18.471428571428646,0,2,0.0
2021-08-05,14.335714285714287,1,0,100.0
2021-08-06,-44.417857142856974,1,3,25.0
2021-08-09,-10.71428571428578,0,1,0.0
2021-08-10,-76.67142857142846,0,3,0.0
2021-08-12,-23.203571428571532,2,3,40.0
2021-08-13,-29.274999999999864,2,4,33.33333333333333
2021-08-16,21.885714285714243,4,0,100.0
2021-08-17,22.23571428571438,6,2,75.0
2021-08-18,0.0,0,1,0.0
2021-08-27,-4.242857142857247,1,1,50.0
2021-08-30,0.0,0,1,0.0
2021-08-31,-1.9785714285712857,1,2,33.33333333333333
2021-09-03,-19.760714285714585,6,1,85.71428571428571
2021-09-06,-16.06071428571431,0,1,0.0
2021-09-07,-35.871428571428396,0,2,0.0
2021-09-08,2.571428571428669,3,3,50.0
2021-09-09,21.567857142857065,2,2,50.0
2021-09-13,28.832142857143026,4,4,50.0
2021-09-14,-37.332142857142806,5,3,62.5
2021-09-15,-48.75000000000023,0,4,0.0
2021-09-24,4.728571428571286,1,0,100.0
2021-09-27,45.564285714285916,5,0,100.0
2021-09-29,-6.214285714285552,1,1,50.0
2021-09-30,2.6285714285713766,1,0,100.0
2021-10-01,-0.2892857142858265,2,3,40.0
2021-10-04,77.00714285714298,6,0,100.0
2021-10-05,42.75000000000023,4,0,100.0
2021-10-06,-51.20000000000027,0,4,0.0
2021-10-07,24.364285714285646,3,1,75.0
2021-10-12,-10.746428571428623,0,1,0.0
2021-10-13,-1.0,0,1,0.0
2021-10-14,-36.62857142857138,0,3,0.0
2021-10-18,107.47142857142876,8,0,100.0
2021-10-19,-126.4035714285717,0,6,0.0
2021-10-20,-5.7999999999999545,0,2,0.0
2021-10-21,-48.1678571428572,2,4,33.33333333333333
2021-10-22,0.16428571428559735,1,1,50.0
2021-10-25,79.11428571428587,2,0,100.0
2021-10-26,-66.77857142857147,2,3,40.0
2021-10-28,-30.0,0,1,0.0
2021-11-01,-9.439285714285461,3,1,75.0
2021-11-02,-121.77857142857148,0,3,0.0
2021-11-03,47.51071428571436,3,2,60.0
2021-11-08,-27.600000000000136,0,1,0.0
2021-11-09,38.78571428571422,3,0,100.0
2021-11-10,36.235714285714266,6,0,100.0
2021-11-11,32.453571428570974,4,3,57.14285714285714
2021-11-12,7.7607142857145845,1,4,20.0
2021-11-15,-14.460714285714403,1,3,25.0
2021-11-17,-94.25357142857138,0,3,0.0
2021-11-18,15.339285714285781,2,1,66.66666666666666
2021-11-22,-9.900000000000093,0,1,0.0
2021-11-23,47.86071428571427,3,2,60.0
2021-11-24,-120.60714285714289,0,4,0.0
2021-11-25,53.31428571428569,6,0,100.0
2021-11-26,-12.799999999999956,0,1,0.0
2021-12-01,-69.11785714285725,0,1,0.0
2021-12-02,4.542857142857201,1,0,100.0
2021-12-03,-44.03571428571422,0,2,0.0
2021-12-06,-35.88214285714298,0,1,0.0
2021-12-07,0.8071428571427077,1,0,100.0
2021-12-08,-56.524999999999864,0,3,0.0
2021-12-10,-66.76785714285734,0,4,0.0
2021-12-13,-20.79642857142858,0,2,0.0
2021-12-14,-56.37857142857161,0,5,0.0
2021-12-15,-51.471428571428305,0,3,0.0
2021-12-16,10.11428571428587,4,0,100.0
2021-12-21,62.00714285714298,4,0,100.0
2021-12-22,-70.62857142857138,2,3,40.0
2021-12-23,-19.99285714285702,0,3,0.0
2021-12-27,-21.34999999999991,0,1,0.0
2021-12-29,0.0,0,3,0.0
2021-12-30,-36.72857142857151,0,1,0.0
2021-12-31,77.1714285714288,4,0,100.0
2022-01-03,-44.7107142857144,2,2,50.0
2022-01-04,3.349999999999909,1,1,50.0
2022-01-05,28.464285714285552,3,0,100.0
2022-01-06,-15.821428571428214,2,2,50.0
2022-01-07,18.05714285714293,1,1,50.0
2022-01-10,64.69285714285729,5,0,100.0
2022-01-11,183.75000000000045,8,0,100.0
2022-01-12,207.65714285714307,6,0,100.0
2022-01-13,-27.7928571428572,1,1,50.0
2022-01-14,32.58928571428578,3,1,75.0
2022-01-18,69.22857142857151,4,0,100.0
2022-01-19,-2.8535714285712857,1,1,50.0
2022-01-20,-90.76071428571436,0,2,0.0
2022-01-21,-43.17857142857133,0,2,0.0
2022-01-25,-136.19642857142867,1,3,25.0
2022-01-27,-1.2428571428570194,0,3,0.0
2022-01-28,-443.7999999999997,0,6,0.0
2022-01-31,-34.37142857142862,0,2,0.0
2022-02-01,15.528571428571468,1,1,50.0
2022-02-02,-8.546428571428578,1,4,20.0
2022-02-03,-38.549999999999955,0,3,0.0
2022-02-04,53.799999999999955,5,0,100.0
2022-02-07,-54.782142857142844,0,2,0.0
2022-02-09,-6.92142857142858,1,1,50.0
2022-02-10,17.50714285714298,2,1,66.66666666666666
2022-02-11,-26.692857142857065,0,2,0.0
2022-02-14,-46.61785714285725,0,1,0.0
2022-02-15,18.335714285714403,1,1,50.0
2022-02-16,-248.73571428571472,0,6,0.0
2022-02-17,-73.5714285714289,1,3,25.0
2022-02-18,-127.5964285714283,0,3,0.0
2022-02-21,12.635714285714585,3,1,75.0
2022-02-22,-114.589285714286,0,4,0.0
2022-02-23,-5.485714285714494,1,2,33.33333333333333
2022-02-25,8.335714285714403,1,0,100.0
2022-02-28,58.899999999999636,2,0,100.0
2022-03-02,-0.9142857142855972,1,3,25.0
2022-03-03,0.0,0,2,0.0
2022-03-04,-75.34999999999945,0,2,0.0
2022-03-07,-73.47857142857129,0,1,0.0
2022-03-08,-39.78928571428605,1,2,33.33333333333333
2022-03-09,-119.93571428571386,0,2,0.0
2022-03-10,-97.7892857142856,0,3,0.0
2022-03-11,-63.728571428572195,0,3,0.0
2022-03-14,-43.52857142857147,0,2,0.0
2022-03-15,-5.11428571428587,1,1,50.0
2022-03-16,33.146428571427805,6,3,66.66666666666666
2022-03-17,1.775000000000091,3,2,60.0
2022-03-21,-24.52499999999964,0,1,0.0
2022-03-22,24.007142857142753,2,0,100.0
2022-03-23,23.17857142857156,2,2,50.0
2022-03-24,6.178571428571559,1,1,50.0
2022-03-25,76.67857142857065,7,1,87.5
2022-03-28,-11.485714285714494,1,1,50.0
2022-03-29,25.935714285713857,9,3,75.0
2022-03-30,34.25714285714321,2,0,100.0
2022-03-31,-55.1571428571433,0,3,0.0
2022-04-01,18.242857142856792,2,0,100.0
2022-04-04,16.62142857142863,3,1,75.0
2022-04-05,-28.0392857142856,0,1,0.0
2022-04-06,-84.3428571428567,0,3,0.0
2022-04-07,-402.321428571428,0,5,0.0
2022-04-08,74.77857142857101,4,0,100.0
2022-04-11,33.63571428571413,2,1,66.66666666666666
2022-04-18,48.95714285714257,4,0,100.0
2022-04-19,-94.07142857142844,0,2,0.0
2022-04-21,-3.68571428571431,1,1,50.0
2022-04-25,-134.63571428571413,0,2,0.0
2022-04-26,108.5785714285712,5,1,83.33333333333334
2022-04-27,-20.72142857142853,0,1,0.0
2022-04-28,-63.78214285714239,0,3,0.0
2022-04-29,-69.33571428571395,2,4,33.33333333333333
2022-05-02,11.442857142857063,1,2,33.33333333333333
2022-05-05,-39.47142857142853,0,3,0.0
2022-05-06,47.10714285714312,1,0,100.0
2022-05-13,-271.86428571428496,0,4,0.0
2022-05-16,12.357142857143568,1,2,33.33333333333333
2022-05-17,123.64999999999964,6,0,100.0
2022-05-18,15.199999999999825,2,1,66.66666666666666
2022-05-20,-58.94999999999982,0,2,0.0
2022-05-24,-10.110714285714039,1,1,50.0
2022-05-26,4.678571428571331,2,1,66.66666666666666
2022-05-27,110.91071428571422,4,1,80.0
2022-05-30,-124.07142857142844,0,2,0.0
2022-06-02,65.39999999999986,4,0,100.0
2022-06-03,-40.875,0,1,0.0
2022-06-06,24.39285714285688,3,4,42.857142857142854
2022-06-07,33.44285714285729,3,1,75.0
2022-06-08,-39.15000000000009,0,2,0.0
2022-06-09,38.45000000000028,4,2,66.66666666666666
2022-06-13,-28.960714285714396,1,1,50.0
2022-06-14,-31.982142857142662,0,1,0.0
2022-06-15,-40.7892857142856,0,1,0.0
2022-06-16,11.900000000000093,1,0,100.0
2022-06-20,-24.949999999999815,0,1,0.0
2022-06-21,79.99285714285634,4,0,100.0
2022-06-23,-77.93571428571431,0,2,0.0
2022-06-24,63.23571428571404,6,0,100.0
2022-06-27,-65.49642857142908,0,2,0.0
2022-06-28,34.957142857142564,4,1,80.0
2022-06-29,21.37857142857183,5,2,71.42857142857143
2022-06-30,89.87857142857138,6,2,75.0
2022-07-01,-42.40357142857147,1,1,50.0
2022-07-04,0.0,0,1,0.0
2022-07-05,46.55000000000018,4,0,100.0
2022-07-06,23.721428571428532,3,2,60.0
2022-07-07,-28.832142857143022,0,1,0.0
2022-07-08,41.55714285714248,4,0,100.0
2022-07-11,162.028571428571,6,1,85.71428571428571
2022-07-12,-8.71785714285716,1,2,33.33333333333333
2022-07-13,-40.024999999999636,1,1,50.0
2022-07-14,29.814285714285695,3,1,75.0
2022-07-15,-79.91785714285788,2,5,28.57142857142857
2022-07-18,-69.57500000000026,1,1,50.0
2022-07-19,51.77142857142826,4,1,80.0
2022-07-20,32.635714285714585,2,1,66.66666666666666
2022-07-21,16.13571428571413,2,3,40.0
2022-07-22,-13.860714285714035,1,1,50.0
2022-07-25,7.44285714285661,2,2,50.0
2022-07-26,2.400000000000091,2,1,66.66666666666666
2022-07-27,-14.164285714285597,1,1,50.0
2022-07-28,45.149999999999636,3,0,100.0
2022-07-29,-38.31428571428569,0,2,0.0
2022-08-01,189.14285714285688,6,1,85.71428571428571
2022-08-02,135.60714285714266,4,0,100.0
2022-08-03,77.4678571428567,3,1,75.0
2022-08-04,20.15000000000009,1,0,100.0
2022-08-05,-73.46785714285716,0,2,0.0
2022-08-08,78.82142857142844,4,0,100.0
2022-08-10,29.578571428571195,2,0,100.0
2022-08-11,96.09642857142853,5,1,83.33333333333334
2022-08-12,71.45714285714303,4,2,66.66666666666666
2022-08-16,8.192857142857974,4,2,66.66666666666666
2022-08-17,57.38571428571413,4,1,80.0
2022-08-18,-106.89642857142917,0,4,0.0
2022-08-19,-0.5464285714283506,1,1,50.0
2022-08-22,-17.48571428571404,0,1,0.0
2022-08-23,166.79285714285652,5,1,83.33333333333334
2022-08-24,40.82857142857165,1,1,50.0
2022-08-25,28.664285714285143,2,1,66.66666666666666
2022-08-26,-58.61785714285725,2,3,40.0
2022-08-29,37.26071428571413,2,3,40.0
2022-08-30,231.75000000000045,8,0,100.0
2022-09-02,-108.56785714285706,0,2,0.0
2022-09-05,-22.0,0,1,0.0
2022-09-06,119.19285714285706,6,0,100.0
2022-09-07,-50.37857142857092,0,2,0.0
2022-09-08,29.9678571428567,5,2,71.42857142857143
2022-09-09,-45.67499999999973,0,3,0.0
2022-09-12,-15.982142857142662,2,1,66.66666666666666
2022-09-13,68.53214285714284,6,2,75.0
2022-09-14,-56.796428571428805,3,1,75.0
2022-09-15,75.95000000000027,4,2,66.66666666666666
2022-09-16,-194.91428571428514,0,3,0.0
2022-09-19,-243.3428571428567,0,3,0.0
2022-09-20,-77.7964285714288,0,1,0.0
2022-09-22,82.14285714285734,4,0,100.0
2022-09-26,-48.37142857142863,2,2,50.0
